image,output,timestamp
"{""background"": "".gradio\\flagged\\image\\57b82c3957ebaa309cc6\\background.png"", ""layers"": ["".gradio\\flagged\\image\\5cde71ab984e39af567e\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\91b06e01ae14f76d9bdf\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2026-05-29 11:17:28.193822
"{""background"": "".gradio\\flagged\\image\\d01e504a4d01b7dade7b\\background.png"", ""layers"": ["".gradio\\flagged\\image\\c6890e4867efa18dd555\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\26eef51d2a4ea37c222e\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2026-05-29 11:43:31.200845
